meanRT_comp,meanRT_incomp,acc_comp,acc_incomp,Age_group,Age_real,v,a,ter,max_ampl,tau,ster
477.50000000,511.04166667,1.00000000,1.00000000,14.00000000,14.77534247,0.52201457,0.07438408,0.34735978,0.01760682,0.55469871,0.50487340
415.13043478,480.84782609,0.97872340,0.97872340,14.00000000,15.09863014,0.36194710,0.05688414,0.30264584,0.01543651,0.13188036,0.08049609
468.55555556,491.09090909,0.95744681,0.93617021,14.00000000,14.76986301,0.40741648,0.03549845,0.39739108,0.01958455,0.64840447,0.36237203
450.64583333,463.28260870,1.00000000,0.97872340,14.00000000,14.78082192,0.42157608,0.05426406,0.33459674,0.01711209,0.02912087,0.30969793
526.74468085,546.66666667,1.00000000,1.00000000,14.00000000,14.72602740,0.40639943,0.08032765,0.33900616,0.00603565,0.93862156,0.02627530
457.97826087,474.80851064,1.00000000,0.97916667,14.00000000,14.57808219,0.43494285,0.05189041,0.35119670,0.01107608,0.79441630,0.17993016
441.14893617,477.54347826,0.97916667,0.97872340,14.00000000,14.81643836,0.30268445,0.05846190,0.27130986,0.01014726,0.11471689,0.03899622
474.43478261,491.15555556,0.95833333,0.95744681,14.00000000,14.81369863,0.31904809,0.04681870,0.34604782,0.00465655,0.23965424,0.40413831
464.54166667,468.26086957,1.00000000,0.97872340,14.00000000,14.36986301,0.52336218,0.04372126,0.38423261,0.00465460,0.54166083,0.39552535
502.80434783,512.58695652,1.00000000,0.97872340,14.00000000,14.66575342,0.41950200,0.05290737,0.37183332,0.01971980,0.97054480,0.56239276
506.26086957,566.02127660,0.97872340,1.00000000,14.00000000,14.86575342,0.40794450,0.05823012,0.39421528,0.01113065,0.12004462,0.69912656
474.71739130,506.06666667,0.97872340,0.95744681,14.00000000,14.32054795,0.40457280,0.04237575,0.38937409,0.02036009,0.56194727,0.34348962
397.72340426,384.65217391,0.97916667,0.97872340,14.00000000,15.09589041,0.46101953,0.04190151,0.30222542,0.00929605,0.00220399,0.37271915
495.77083333,519.82608696,1.00000000,0.97872340,14.00000000,15.12054795,0.39925477,0.06341679,0.35078118,0.00639819,0.18176040,0.28406481
419.44680851,464.08333333,1.00000000,1.00000000,14.00000000,15.01095890,0.58095985,0.06539566,0.31974770,0.05160394,0.88460139,0.53145254
456.75555556,466.77272727,1.00000000,0.91666667,14.00000000,14.30410959,0.44419336,0.05170517,0.35849143,0.03688288,0.01871098,0.38469377
479.08888889,489.60000000,0.97826087,0.93750000,14.00000000,14.49315068,0.30279766,0.05185254,0.32359924,0.01180774,0.97768590,0.35709991
