meanRT_comp,meanRT_incomp,acc_comp,acc_incomp,Age_group,Age_real,v,a,ter,max_ampl,tau,ster
549.42553191,594.32608696,0.97916667,0.97872340,14.00000000,14.77534247,0.38148331,0.05052011,0.43925484,0.00921217,0.15744085,0.48960313
464.81818182,496.93478261,0.93617021,0.95833333,14.00000000,15.09863014,0.36394935,0.03895762,0.38172388,0.01314170,0.61376189,0.47271958
533.33333333,574.75555556,1.00000000,0.95744681,14.00000000,14.76986301,0.41598657,0.04930670,0.43824451,0.01349604,0.05937497,0.38420091
525.39130435,587.89130435,0.97872340,0.97872340,14.00000000,14.78082192,0.36157131,0.05673228,0.40417799,0.01651997,0.05613061,0.38504368
522.34042553,564.63043478,1.00000000,0.97872340,14.00000000,14.72602740,0.41639363,0.07865189,0.37355825,0.04791680,0.03389161,0.56817812
516.45833333,548.00000000,1.00000000,0.97826087,14.00000000,14.57808219,0.41233340,0.05525493,0.39222566,0.01295320,0.72970155,0.59217384
509.00000000,676.17391304,1.00000000,0.97872340,14.00000000,14.81643836,0.27614756,0.09219831,0.23820309,0.04096220,0.98451750,0.93768842
502.27083333,560.56818182,1.00000000,0.93617021,14.00000000,14.81369863,0.39191961,0.04966787,0.40669805,0.01823194,0.08015451,0.44419471
494.57446809,588.53191489,1.00000000,0.97916667,14.00000000,14.36986301,0.42419690,0.06321510,0.37848918,0.06109647,0.93922895,0.51001195
546.51063830,605.58695652,1.00000000,0.97872340,14.00000000,14.66575342,0.37421859,0.05643854,0.41651121,0.02691812,0.97519638,0.42586327
630.74468085,707.64285714,1.00000000,0.91304348,14.00000000,14.86575342,0.42984848,0.08247263,0.51115584,0.07139895,0.02005250,0.44397896
552.72340426,579.52173913,1.00000000,0.95833333,14.00000000,14.32054795,0.43595713,0.05227334,0.45621125,0.02440346,0.03102268,0.41541352
406.22916667,429.27906977,1.00000000,0.91489362,14.00000000,15.09589041,0.47012568,0.03479133,0.34527830,0.01088474,0.08303283,0.37114131
586.86956522,575.47826087,0.97872340,0.95833333,14.00000000,15.12054795,0.36222451,0.05490192,0.44009051,0.03389825,0.01568992,0.47328443
439.38297872,460.25531915,1.00000000,0.97916667,14.00000000,15.01095890,0.46383722,0.04894634,0.34275036,0.00993563,0.81394133,0.37124012
441.76086957,485.95555556,0.97872340,0.97826087,14.00000000,14.30410959,0.39966027,0.04725431,0.34725047,0.02670842,0.90246689,0.38401797
520.68085106,535.60869565,1.00000000,0.95833333,14.00000000,14.49315068,0.46113954,0.06474347,0.39669445,0.04948992,0.01473062,0.61620538
506.89361702,531.32608696,0.97916667,0.95833333,14.00000000,14.50410959,0.46385301,0.03883702,0.43160548,0.01152574,0.19091858,0.48578433
417.97727273,412.63043478,0.93617021,0.97872340,14.00000000,15.00821918,0.43068296,0.03462902,0.34151000,0.00004005,0.40292147,0.47069376
510.00000000,557.93333333,1.00000000,1.00000000,14.00000000,14.36986301,0.79439694,0.12284733,0.37395108,0.03583056,0.69667545,0.61765782
443.50000000,469.77777778,1.00000000,0.93750000,14.00000000,14.88493151,0.86681437,0.02504311,0.42381267,0.10270392,0.67401333,0.32016926
583.02127660,607.93333333,1.00000000,0.93750000,14.00000000,14.67397260,0.27443941,0.06752240,0.36838038,0.03248496,0.02559065,0.36867228
596.63043478,614.74418605,0.97872340,0.91489362,14.00000000,14.58904110,0.28394983,0.05094877,0.44216275,0.00811884,0.18766641,0.49610257
525.68085106,580.84782609,1.00000000,0.97872340,14.00000000,14.72054795,0.53359464,0.04894339,0.44658256,0.06302173,0.82430961,0.42074024
520.80851064,582.93333333,1.00000000,0.95744681,14.00000000,15.12328767,0.87059042,0.03932006,0.50225044,0.03624690,0.08325909,0.68097616
444.20833333,493.39534884,1.00000000,0.91489362,14.00000000,14.33424658,0.44195661,0.04676973,0.37437390,0.02487028,0.04438486,0.40531712
468.04255319,522.56818182,0.97916667,0.93617021,14.00000000,14.96164384,0.36255735,0.04539393,0.37826340,0.01291503,0.16078528,0.66106011
485.58333333,515.45454545,1.00000000,0.93617021,14.00000000,14.70958904,0.51163178,0.07591410,0.37526775,0.06882894,0.01353652,0.35746434
521.14893617,590.22727273,1.00000000,0.91666667,14.00000000,14.43835616,0.35746113,0.04883646,0.41864459,0.02755134,0.34653198,0.31424199
497.23404255,573.20930233,1.00000000,0.91489362,14.00000000,14.89863014,0.80893282,0.03556822,0.47168720,0.17138736,0.78805725,0.43530659
583.32608696,601.60000000,0.95833333,0.95744681,14.00000000,14.44931507,0.27498610,0.05499757,0.39609992,0.00473507,0.67843979,0.43587576
688.19148936,837.73809524,1.00000000,0.87500000,14.00000000,14.70136986,0.21613122,0.06973073,0.47109225,0.04541301,0.98212991,0.25760961
417.75000000,473.40425532,1.00000000,0.97916667,14.00000000,14.91780822,0.60725343,0.04932166,0.35716352,0.02621458,0.19171223,0.41344252
516.85106383,533.61702128,0.97916667,1.00000000,14.00000000,14.58630137,0.51790911,0.04282947,0.43910686,0.00383039,0.27310852,0.42594778
664.40425532,727.82222222,1.00000000,0.93750000,13.00000000,13.58904110,0.24922293,0.06603780,0.43993840,0.01957312,0.95904626,0.02327263
515.00000000,645.52380952,1.00000000,0.87500000,13.00000000,13.86301370,0.27087061,0.05728489,0.36140753,0.05515342,0.92902042,0.53180318
427.43750000,493.38095238,1.00000000,0.89361702,13.00000000,13.94246575,0.45317482,0.04022527,0.37049100,0.02243185,0.11934744,0.58438217
483.97916667,525.09090909,1.00000000,0.93617021,13.00000000,14.04931507,0.48599124,0.05170803,0.41386363,0.03303243,0.02328091,0.46402487
518.82608696,520.59574468,1.00000000,0.97916667,13.00000000,13.38356164,0.46261383,0.04690040,0.41799656,0.00101980,0.98768011,0.38774522
529.32608696,615.17777778,0.97872340,0.95744681,13.00000000,13.67671233,0.32073470,0.05890066,0.39466220,0.01885242,0.09631505,0.73500289
511.10638298,582.41860465,1.00000000,0.89583333,13.00000000,13.44383562,0.42188510,0.04305073,0.43998876,0.02407904,0.11727768,0.60584892
