meanRT_comp,meanRT_incomp,acc_comp,acc_incomp,Age_group,Age_real,v,a,ter,max_ampl,tau,ster
1.62967391,2.11271739,1.00000000,0.97872340,5.00000000,6.05479452,0.12984026,0.16419620,0.62383038,0.02685906,0.99406680,0.10792917
1.89935556,1.94142222,0.95744681,0.95744681,5.00000000,5.85479452,0.10545496,0.14185297,0.67116614,0.01536839,0.36166392,0.13525290
0.82962500,1.03111111,0.86956522,1.00000000,5.00000000,5.31232877,0.18254334,0.07335149,0.55086078,0.01123399,0.97282566,0.04352406
0.64356098,0.71048718,0.87234043,0.82978723,5.00000000,5.67671233,0.23108070,0.03565814,0.55077175,0.01290732,0.62757006,0.02392923
1.02450000,1.10306818,0.95652174,0.93617021,5.00000000,5.99726027,0.15818590,0.08869802,0.54430835,0.01143766,0.28967128,0.08836717
0.76308511,0.86802174,1.00000000,0.95833333,5.00000000,5.90684932,0.27633132,0.07630545,0.55439572,0.02198454,0.19725215,0.05365142
1.25062500,1.40608696,1.00000000,0.97872340,5.00000000,5.38630137,0.17234510,0.13341700,0.59582879,0.02292906,0.29821103,0.02601239
0.92695652,0.91559091,0.97872340,0.95652174,5.00000000,6.05205479,0.24360856,0.07737096,0.63098767,0.04368457,0.03147948,0.01475186
1.47222727,1.48708511,0.93617021,1.00000000,5.00000000,5.40273973,0.13381522,0.11884274,0.63513025,0.01383869,0.15168619,0.01027794
0.78788372,0.96334884,0.97727273,0.93478261,5.00000000,6.13150685,0.20615012,0.08332328,0.44563839,0.04258300,0.99779147,0.05711924
1.11506383,1.29143478,0.97916667,0.97872340,5.00000000,5.85479452,0.20712116,0.09582621,0.75125421,0.02529908,0.64344001,0.10136720
1.17688889,1.31789362,0.97826087,1.00000000,5.00000000,5.51780822,0.16310423,0.12701584,0.49333496,0.01807178,0.20809434,0.01762648
1.45411364,1.34015556,0.97777778,0.97826087,5.00000000,5.63287671,0.14982192,0.12064265,0.60438092,0.05874088,0.00831036,0.00970028
1.09328261,1.33272727,0.97872340,0.93617021,5.00000000,5.77534247,0.15651670,0.10402174,0.61328076,0.02711310,0.87854812,0.12090723
1.12845652,1.10847727,0.97872340,0.93617021,5.00000000,5.56986301,0.15619741,0.10462957,0.48012265,0.04840774,0.04161133,0.05651561
1.40046809,1.33141304,1.00000000,1.00000000,5.00000000,5.52602740,0.17060680,0.16062322,0.37909219,0.00907552,0.33832465,0.01581362
0.75480000,0.77872917,0.93750000,1.00000000,5.00000000,5.90684932,0.25600279,0.06583484,0.52002606,0.00030906,0.88431569,0.04097570
1.04589130,1.19915909,0.97872340,0.95652174,5.00000000,5.70136986,0.17251034,0.12997646,0.46094761,0.10088379,0.03185096,0.13385342
1.05130435,1.34773333,0.97872340,0.93750000,5.00000000,6.13424658,0.13949677,0.11525659,0.44698094,0.02778728,0.96780725,0.02293461
1.33984444,1.30731250,0.95744681,1.00000000,5.00000000,6.23013699,0.18128321,0.10646699,0.76794554,0.07544494,0.00925214,0.08329327
1.27357778,1.61506667,1.00000000,1.00000000,5.00000000,5.40821918,0.15365815,0.16306793,0.41098671,0.03632647,0.19709296,0.04346388
0.77178261,0.84943182,0.97872340,0.93617021,5.00000000,5.97808219,0.21433053,0.07250647,0.50303144,0.01588979,0.32158432,0.01492764
1.01442553,1.04551064,1.00000000,1.00000000,5.00000000,5.32602740,0.21247671,0.16435344,0.25538207,0.03419076,0.05540221,0.14285790
1.37676087,1.59431111,0.97872340,0.97826087,5.00000000,5.46849315,0.13733283,0.13753741,0.52379193,0.02017429,0.21432635,0.12613958
1.03286957,1.11929545,1.00000000,0.93617021,5.00000000,5.55068493,0.15714453,0.11036334,0.42401809,0.01706444,0.29560847,0.10294540
0.86365116,0.85522727,0.89583333,0.93617021,5.00000000,5.92054795,0.18723953,0.06426150,0.57745384,0.01966051,0.03064432,0.03588816
0.79493333,0.90191111,0.95744681,0.95744681,5.00000000,5.99178082,0.20372618,0.07479133,0.49670166,0.01099733,0.94842516,0.01021427
1.77374468,2.12227660,1.00000000,1.00000000,5.00000000,5.60000000,0.13338524,0.21114482,0.33864326,0.01603517,0.94816768,0.05961733
0.99712766,1.15636364,1.00000000,0.93617021,5.00000000,5.63561644,0.18901150,0.09997239,0.56627452,0.02715115,0.91721108,0.03770985
1.07253659,1.52661538,0.91111111,0.86666667,5.00000000,5.96164384,0.10527747,0.11520822,0.45997000,0.08251313,0.04081234,0.03216355
1.26126087,1.30133333,0.97872340,0.95744681,5.00000000,6.03561644,0.16484434,0.10624669,0.67594930,0.00565976,0.51171981,0.09125757
