meanRT_comp,meanRT_incomp,acc_comp,acc_incomp,Age_group,Age_real,v,a,ter,max_ampl,tau,ster
0.65894558,0.72563716,0.98648649,0.97278912,6.00000000,6.91666667,0.29400515,0.06742376,0.47144767,0.01484746,0.12817594,0.01458828
1.04632274,1.10913086,0.99315068,0.98630137,6.00000000,7.25000000,0.20584558,0.10959481,0.54859186,0.01327104,0.19616097,0.03138054
1.04972724,1.05808526,0.97315436,0.97972973,6.00000000,7.25000000,0.20701653,0.08981729,0.64641766,0.02076497,0.06526885,0.03000796
0.73803376,0.76419247,1.00000000,0.93150685,6.00000000,6.33333333,0.30198742,0.08581529,0.49658613,0.05789887,0.03033831,0.01524708
0.74572839,0.78776720,0.98620690,0.97297297,6.00000000,6.91666667,0.26592034,0.07175879,0.50103313,0.01215063,0.90311961,0.01962235
0.69558820,0.71607507,0.98657718,0.94520548,6.00000000,7.16666667,0.28956713,0.05919471,0.51377604,0.01932712,0.03145665,0.00971105
0.79454549,0.90251713,1.00000000,0.97183099,6.00000000,6.66666667,0.25129511,0.09212002,0.49823607,0.03381690,0.07344166,0.01924251
0.84305446,0.93810338,0.93288591,0.94594595,6.00000000,6.83333333,0.17730905,0.07925346,0.49297606,0.02668134,0.04750438,0.00530600
0.97095922,1.04245657,0.98620690,0.95333333,6.00000000,6.50000000,0.20598666,0.08412892,0.61741964,0.01417087,0.98785222,0.03638864
0.75543572,0.78647726,0.91891892,0.88965517,6.00000000,7.00000000,0.21605639,0.05147183,0.56731047,0.00711286,0.08668974,0.01516192
0.69358010,0.79304832,0.99319728,0.91216216,6.00000000,6.33333333,0.24846869,0.08925188,0.42855948,0.06848524,0.02462910,0.03572788
0.75285748,0.85441679,0.96598639,0.90666667,6.00000000,6.50000000,0.23494018,0.06100344,0.56236639,0.01905646,0.18580275,0.02169600
0.74555045,0.81843688,0.95945946,0.88111888,6.00000000,6.50000000,0.23148729,0.05727364,0.56258973,0.02141097,0.05130121,0.01732353
0.96188749,1.09300322,1.00000000,0.94444444,6.00000000,6.41666667,0.18188881,0.10047867,0.50786877,0.02139791,0.79366996,0.01580127
1.16147190,1.20243240,0.99310345,0.98601399,7.00000000,7.58333333,0.16935690,0.13549036,0.38523608,0.01188109,0.19768443,0.02724912
0.54508131,0.62077713,0.98657718,0.85906040,7.00000000,8.08333333,0.30343603,0.04665727,0.44501749,0.02069723,0.09305716,0.00906717
0.87108358,0.93163031,0.97297297,0.96598639,7.00000000,8.16666667,0.19263960,0.08861159,0.47364575,0.01357822,0.08118579,0.03586005
0.88637145,1.09022106,0.97260274,0.75862069,7.00000000,7.41666667,0.15410833,0.08910952,0.57261424,0.06502220,0.06266002,0.03968962
0.67898707,0.78582938,0.99315068,0.95890411,7.00000000,7.66666667,0.26643939,0.07363589,0.46334553,0.01915982,0.25836324,0.01095893
0.66919121,0.72956040,0.95205479,0.91891892,7.00000000,7.91666667,0.19533314,0.06726012,0.38190934,0.01039122,0.34582726,0.02140361
0.79178957,0.83191085,1.00000000,1.00000000,7.00000000,7.91666667,0.29624420,0.12597368,0.38298648,0.01886352,0.12867375,0.00770361
0.76416352,0.82240609,0.99315068,0.98648649,7.00000000,8.16666667,0.22904065,0.09704763,0.38374845,0.01161778,0.13430983,0.02225887
0.96179730,1.04885547,0.93243243,0.86805556,7.00000000,7.50000000,0.15812163,0.07686524,0.62171393,0.04326213,0.03888242,0.04015760
1.15344491,1.09242567,0.97972973,0.97887324,7.00000000,7.91666667,0.14437137,0.13521463,0.22571757,0.05055796,0.01804199,0.02853437
0.70538456,0.76559987,0.98639456,0.92517007,7.00000000,7.41666667,0.23419015,0.07116899,0.46244034,0.03468582,0.03738082,0.01097106
0.56018568,0.59290017,0.97986577,0.90972222,7.00000000,7.50000000,0.33477905,0.04718077,0.44729914,0.01717155,0.04360615,0.01492260
0.76691169,0.85615234,0.99328859,0.90604027,8.00000000,8.58333333,0.20912244,0.07200450,0.49661469,0.01718601,0.08837199,0.02307963
0.68171971,0.77703402,0.95302013,0.89932886,8.00000000,8.50000000,0.21080890,0.06358900,0.44847250,0.01491550,0.13787841,0.02031555
0.63517802,0.68184694,0.98666667,0.96598639,8.00000000,8.83333333,0.35981026,0.05972917,0.50238266,0.02301526,0.04690571,0.01487420
0.71291720,0.77189941,0.99324324,0.93959732,8.00000000,8.58333333,0.22575861,0.07900616,0.41674951,0.02352704,0.05708074,0.00947451
0.57852808,0.65729980,0.99333333,0.95890411,8.00000000,8.25000000,0.32509583,0.07173757,0.41389186,0.03665595,0.04333461,0.01695238
0.71471991,0.73353195,0.98571429,0.89510490,8.00000000,8.41666667,0.20399163,0.06803738,0.43216590,0.01646433,0.06921250,0.01315639
0.57225880,0.61580463,0.95973154,0.93197279,8.00000000,8.75000000,0.27332318,0.05226286,0.41929873,0.01082068,0.32449384,0.01535183
0.69903354,0.78906953,0.99315068,0.93918919,8.00000000,9.16666667,0.20701970,0.08699643,0.36300218,0.03060748,0.08303772,0.01411813
0.60471226,0.63673270,0.95302013,0.95238095,8.00000000,8.50000000,0.32734165,0.05406257,0.47180233,0.02813663,0.02528852,0.01409997
0.69715034,0.72981439,0.98630137,0.98657718,8.00000000,8.66666667,0.28966638,0.07437079,0.46658502,0.02015045,0.05276061,0.01268832
0.78317522,0.98015594,0.97222222,0.87074830,8.00000000,9.00000000,0.16480941,0.07982820,0.45007020,0.02819813,0.54950987,0.02031830
0.67340253,0.71168487,0.98666667,0.99324324,8.00000000,8.66666667,0.31283644,0.07344787,0.46318610,0.01132751,0.06131137,0.02554498
0.74831706,0.83795550,1.00000000,0.95973154,8.00000000,8.50000000,0.24760062,0.08195157,0.46967036,0.01465706,0.22232778,0.02156404
0.62279432,0.64738454,0.97315436,0.98000000,8.00000000,8.66666667,0.33996723,0.06091723,0.47021149,0.02314541,0.03179260,0.00791730
0.63825978,0.72897801,0.95918367,0.91034483,8.00000000,8.83333333,0.22088921,0.06201994,0.43764466,0.01605566,0.10434817,0.01490574
0.57524480,0.60090149,0.99328859,0.98000000,9.00000000,10.16666667,0.49869676,0.08597629,0.43053846,0.06681956,0.01923988,0.01088069
0.60337046,0.64658901,0.99328859,0.95238095,9.00000000,9.25000000,0.33540340,0.05660255,0.46088137,0.01573075,0.06070892,0.01345472
0.66535908,0.72572064,1.00000000,0.97972973,9.00000000,9.25000000,0.33653562,0.09253433,0.44206535,0.05369625,0.04169265,0.01229160
0.62720386,0.68523464,0.99328859,0.99324324,9.00000000,9.16666667,0.38672814,0.07396837,0.47489114,0.02817177,0.04242166,0.01292056
0.65109295,0.69345238,0.98648649,0.98000000,9.00000000,9.83333333,0.31595541,0.06747624,0.45912738,0.01596455,0.07017351,0.02496889
0.57411559,0.60839509,0.96598639,0.97333333,9.00000000,10.00000000,0.29047566,0.06024375,0.39461086,0.01028573,0.06563690,0.01391519
0.70806586,0.72463345,0.96621622,0.95302013,9.00000000,9.91666667,0.23039060,0.06713357,0.44174907,0.00536881,0.10436299,0.01699866
0.54019504,0.57042440,0.97297297,0.96000000,9.00000000,9.75000000,0.34052059,0.04989311,0.41980620,0.01143055,0.04709044,0.00949489
0.54678006,0.58475806,0.97959184,0.95945946,9.00000000,9.41666667,0.42605966,0.04306257,0.46792904,0.01487181,0.03260305,0.01017930
0.62512738,0.66142988,0.95833333,0.97945205,9.00000000,9.58333333,0.26967913,0.06842076,0.41782089,0.03317257,0.02896133,0.01541695
0.62640381,0.66208206,0.97959184,0.97278912,9.00000000,10.08333333,0.26224997,0.07017275,0.38712545,0.01696896,0.05185524,0.01331984
0.53808948,0.59125302,0.95172414,0.82550336,9.00000000,9.75000000,0.20371466,0.05166062,0.34837534,0.01464371,0.20474964,0.01545486
0.51235753,0.53848138,0.97986577,0.94666667,10.00000000,11.00000000,0.39855059,0.04919200,0.41426770,0.03042479,0.01571242,0.00831514
0.58564057,0.63514097,1.00000000,0.98657718,10.00000000,10.50000000,0.38439272,0.07080955,0.42561451,0.02043095,0.07025918,0.01584015
0.65697064,0.70832416,0.97972973,0.94666667,10.00000000,10.33333333,0.23256359,0.07135316,0.39233455,0.01255797,0.11747398,0.02010614
0.77474071,0.78907240,0.99315068,1.00000000,10.00000000,10.41666667,0.30538104,0.09379512,0.47475897,0.00160689,0.96177461,0.00486400
0.66598812,0.67762511,0.95945946,0.96621622,10.00000000,11.00000000,0.22276516,0.07886289,0.33696684,0.00850519,0.10328011,0.01231616
0.49865808,0.53303358,0.96621622,0.97297297,10.00000000,11.08333333,0.33373795,0.05048550,0.36848085,0.00576784,0.23126488,0.01091033
0.54249719,0.60160987,0.99319728,0.89333333,10.00000000,11.16666667,0.42515678,0.07180106,0.42870206,0.05934036,0.02000526,0.01385317
0.51611988,0.55674265,0.99328859,0.91156463,10.00000000,10.41666667,0.38412095,0.04165031,0.43950239,0.01600259,0.05559227,0.00971964
0.64431272,0.63066133,0.95333333,0.95973154,10.00000000,11.16666667,0.23026919,0.06587260,0.36408205,0.00582372,0.07499448,0.02148580
0.55143480,0.64441125,0.99236641,0.90769231,10.00000000,11.08333333,0.30323836,0.05595856,0.43183770,0.02120012,0.09703368,0.01539772
0.69250990,0.72915974,0.99319728,0.94630872,10.00000000,11.00000000,0.29078713,0.06814525,0.49398272,0.03872565,0.02731858,0.01471929
0.62451172,0.68709090,0.98639456,0.98666667,11.00000000,12.00000000,0.30718370,0.07306805,0.42292850,0.02466704,0.03657555,0.01182662
0.53366089,0.54472993,0.96000000,0.97315436,11.00000000,11.33333333,0.28135296,0.05771824,0.34598953,0.01166861,0.02561949,0.01518207
