meanRT_comp,meanRT_incomp,acc_comp,acc_incomp,Age_group,Age_real,v,a,ter,max_ampl,tau,ster
1.52089362,2.16535714,0.97916667,0.89361702,5.00000000,5.85479452,0.09000481,0.15899381,0.40344307,0.04242964,0.67865411,0.01055397
1.06629167,1.23840909,1.00000000,0.93617021,5.00000000,5.31232877,0.18122088,0.10044678,0.60421911,0.02582948,0.96641709,0.06181785
0.92470455,1.08400000,0.95652174,0.80000000,5.00000000,5.67671233,0.11927023,0.08325409,0.46580654,0.02703200,0.94077633,0.01165273
1.19182609,1.58955814,0.97872340,0.93478261,5.00000000,5.99726027,0.11823105,0.11989863,0.38056324,0.00317464,0.43070321,0.00376947
0.80921277,0.90500000,1.00000000,0.91489362,5.00000000,5.44383562,0.24318750,0.06606283,0.57574675,0.01436927,0.18725078,0.02835859
1.64308696,2.09304651,1.00000000,0.89583333,5.00000000,5.38630137,0.10644290,0.13770301,0.70127650,0.03325390,0.98880877,0.00997944
1.55304255,1.56704878,1.00000000,0.87234043,5.00000000,6.05205479,0.12022788,0.11487283,0.74708458,0.02129422,0.29311490,0.05491190
1.24952174,1.82160976,0.97872340,0.87234043,5.00000000,5.40273973,0.14413639,0.10322077,0.84569438,0.05616942,0.97852038,0.04707459
1.38535417,1.99609091,1.00000000,0.93617021,5.00000000,5.85479452,0.11619053,0.15307748,0.45578357,0.03727153,0.98721263,0.09207831
1.42176087,1.40922727,0.97872340,0.93617021,5.00000000,5.51780822,0.14494878,0.10905653,0.72322041,0.01039268,0.18513485,0.05324261
1.99304348,2.77043590,0.97872340,0.82978723,5.00000000,5.63287671,0.07344293,0.16308995,0.62573144,0.04052922,0.98271290,0.17052928
1.71586667,1.96962162,0.95744681,0.80434783,5.00000000,5.77534247,0.08850232,0.11874259,0.76453182,0.03204190,0.72626673,0.06027442
0.86333333,1.07170455,0.89361702,0.93617021,5.00000000,5.56986301,0.16313435,0.07378774,0.56089322,0.01659697,0.58534840,0.07186084
1.63389362,1.34851064,1.00000000,1.00000000,5.00000000,5.52602740,0.15506206,0.14804698,0.50111251,0.02235026,0.17640501,0.00067941
1.38495745,1.53086842,0.97916667,0.82608696,5.00000000,5.90684932,0.10216433,0.11036581,0.59088544,0.02395536,0.96780503,0.01712063
1.55632609,1.78764103,1.00000000,0.82978723,5.00000000,5.70136986,0.10842834,0.11703144,0.71257436,0.03337435,0.99152741,0.04556597
0.90165909,0.80600000,0.93617021,0.89583333,5.00000000,6.13424658,0.18534016,0.07323143,0.51716255,0.06744504,0.00838264,0.03237181
1.50078261,1.49404255,1.00000000,1.00000000,5.00000000,6.23013699,0.16652608,0.14861765,0.53581816,0.01988096,0.22967030,0.01194074
1.43058696,1.27459091,0.97872340,0.93617021,5.00000000,5.40821918,0.12944115,0.12244991,0.48389391,0.07919947,0.01656406,0.09384814
0.72035714,0.83247619,0.89361702,0.87500000,5.00000000,5.97808219,0.20223560,0.05934742,0.53550794,0.04263312,0.01674527,0.05311973
1.02195556,1.14827273,0.95744681,0.91666667,5.00000000,5.32602740,0.13388997,0.09689684,0.45001475,0.02103914,0.11835230,0.00976791
2.44709524,2.58428889,0.89361702,0.95744681,5.00000000,5.46849315,0.07182023,0.16512983,0.70539345,0.02503610,0.30473833,0.05052405
1.16997872,1.54330233,1.00000000,0.91489362,5.00000000,5.55068493,0.16227834,0.11174629,0.69508596,0.03971182,0.66061352,0.07088615
1.66506522,1.52325000,0.97872340,0.85106383,5.00000000,5.92054795,0.10326955,0.12150763,0.55281853,0.04172984,0.22162347,0.12478033
1.11765116,1.11785714,0.89583333,0.89361702,5.00000000,5.99178082,0.14018167,0.07627045,0.66553650,0.02328443,0.02991474,0.03427180
1.82993478,2.18809302,1.00000000,0.93478261,5.00000000,5.60000000,0.09235492,0.17751848,0.25876041,0.01516132,0.99167064,0.06708631
1.28756522,1.41429268,0.97872340,0.85416667,5.00000000,5.63561644,0.12641566,0.09629470,0.73925736,0.01995689,0.93529571,0.09663000
1.02818919,1.00548571,0.86046512,0.76086957,5.00000000,5.96164384,0.09419894,0.07291686,0.51568836,0.00906108,0.94997820,0.04390377
1.27152174,1.93089189,0.97872340,0.77083333,5.00000000,6.03561644,0.09058962,0.11845918,0.62128283,0.04786647,0.98764345,0.10625623
1.42777778,1.73902222,0.95744681,0.95744681,6.00000000,6.95068493,0.10879155,0.14374468,0.38634951,0.02040541,0.82107409,0.05181160
1.02463043,1.01382609,0.97872340,0.97872340,6.00000000,6.90136986,0.23000412,0.08692438,0.65360270,0.04090193,0.03584740,0.00451460
0.86467391,1.08681818,0.97872340,0.93617021,6.00000000,6.57534247,0.19486782,0.08780807,0.57177813,0.03681343,0.09471825,0.04635281
0.75234043,0.77756818,0.97916667,0.93617021,6.00000000,6.86027397,0.29191531,0.05323264,0.59216274,0.01190757,0.77955629,0.02716844
0.90708696,1.09680488,1.00000000,0.87234043,6.00000000,6.92602740,0.13250484,0.10125993,0.40059089,0.02623747,0.92811607,0.11606257
0.73560870,0.72822727,1.00000000,0.95652174,6.00000000,6.67945205,0.27713805,0.06662753,0.48712255,0.00728038,0.09584826,0.02282476
0.68317778,0.68264444,0.95744681,0.95744681,6.00000000,6.94520548,0.34257431,0.04373639,0.55188931,0.00035443,0.80690631,0.03040778
0.85725532,0.88902222,1.00000000,0.95744681,6.00000000,6.81095890,0.25205706,0.07300720,0.59534905,0.00572764,0.37068028,0.04482457
0.93586957,1.05358537,0.97872340,0.87234043,6.00000000,6.89041096,0.15297619,0.08276349,0.51133012,0.01392934,0.99600070,0.03975642
1.20917391,1.34176087,0.97872340,0.97872340,6.00000000,6.70136986,0.15275943,0.12180137,0.51655219,0.00802306,0.98428111,0.03720869
1.21543750,1.38663043,1.00000000,0.97872340,6.00000000,7.10684932,0.16002156,0.14827962,0.40374511,0.02246364,0.59416194,0.15414011
1.09110638,1.18157895,0.97916667,0.82608696,6.00000000,6.30410959,0.13332736,0.08394503,0.63856528,0.01710628,0.83188075,0.03196301
0.89272340,0.97539535,1.00000000,0.91489362,6.00000000,7.19178082,0.30102536,0.05800840,0.73941894,0.04412351,0.99417213,0.04722931
1.47786667,1.44669048,0.95744681,0.89361702,6.00000000,6.31780822,0.12332062,0.10122517,0.70480126,0.01054362,0.35235283,0.06927703
0.71513043,0.74163043,0.97872340,0.97872340,6.00000000,6.34246575,0.44123039,0.06015782,0.59902287,0.04466304,0.01202933,0.01327321
0.96700000,1.03997674,0.93181818,0.93478261,6.00000000,6.38630137,0.18855554,0.06813052,0.68742562,0.01333529,0.06232963,0.07177879
0.84421277,0.94912500,1.00000000,0.83333333,6.00000000,6.59726027,0.17432842,0.07298132,0.53659259,0.03271639,0.87781922,0.03148848
0.80693617,0.91178723,1.00000000,1.00000000,6.00000000,6.66849315,0.37779836,0.15332793,0.47032516,0.06771739,0.08046436,0.00840941
1.16893182,1.27358974,0.93617021,0.82978723,6.00000000,6.54246575,0.10587499,0.09409785,0.49197643,0.02028154,0.97707580,0.00377643
0.82011111,1.12340476,1.00000000,0.93333333,6.00000000,7.08219178,0.23052607,0.09385530,0.56420209,0.05933920,0.80187966,0.10794677
0.89465217,0.93457778,0.97872340,0.95744681,6.00000000,7.14794521,0.20777176,0.08388073,0.52634387,0.01818028,0.08582101,0.06699397
1.15897872,1.06678571,0.97916667,0.89361702,6.00000000,6.38356164,0.21490066,0.09911201,0.72303578,0.10024846,0.00970470,0.08233065
1.74651064,1.88286364,1.00000000,0.93617021,6.00000000,7.07945205,0.10988610,0.15967355,0.46302694,0.02607075,0.98243368,0.05360591
0.72812766,0.77536364,0.97916667,0.93617021,6.00000000,7.19452055,0.35129178,0.05800640,0.60855037,0.03686169,0.02454627,0.02711101
0.79369767,0.99167442,0.93478261,0.89583333,6.00000000,6.58082192,0.18187058,0.06765907,0.58044046,0.02317507,0.36672156,0.04474769
1.19510638,1.24354348,1.00000000,0.95833333,6.00000000,6.87397260,0.15907513,0.12329490,0.49031510,0.01295338,0.87684733,0.12421952
0.60408889,0.62897561,0.95744681,0.85416667,7.00000000,7.83287671,0.32006690,0.05148236,0.48934323,0.04362455,0.01103215,0.01970995
1.00083333,1.02738636,1.00000000,0.93617021,7.00000000,7.57534247,0.16644666,0.10458513,0.41998804,0.01007776,0.48468553,0.05421457
0.61055556,0.68316279,0.95744681,0.89583333,7.00000000,7.57534247,0.27484111,0.05589791,0.48476977,0.03245699,0.03150449,0.03375802
0.66970213,0.70953191,0.97916667,0.97916667,7.00000000,7.42191781,0.39900255,0.04816440,0.56765441,0.02087876,0.65098764,0.02621352
1.08112500,1.55833333,1.00000000,0.89361702,7.00000000,7.88767123,0.13426733,0.12523861,0.45498299,0.04859231,0.96926124,0.11167161
1.01784783,1.18902778,0.97872340,0.76595745,7.00000000,7.34520548,0.12756871,0.08390194,0.57273043,0.03417997,0.74111050,0.02678504
0.93965116,1.47995122,0.93478261,0.87234043,7.00000000,7.29589041,0.10988151,0.09949046,0.38651034,0.01860646,0.97859804,0.09313681
0.65902174,0.79288636,1.00000000,0.93617021,7.00000000,7.92054795,0.29259751,0.06708679,0.49446646,0.02551528,0.26540404,0.04652198
1.18259574,1.04448837,0.97916667,0.93478261,7.00000000,7.47397260,0.14559402,0.10337959,0.45837657,0.01173881,0.14426888,0.00475017
0.57926829,0.64026316,0.87234043,0.79166667,7.00000000,7.34520548,0.26066502,0.03719634,0.50950538,0.02327705,0.01874883,0.02445117
0.69786364,0.74928261,0.93617021,0.95833333,7.00000000,7.76438356,0.24438854,0.05796791,0.51619280,0.01562923,0.03052463,0.02089162
0.74837778,0.73700000,0.95744681,0.95744681,7.00000000,7.73424658,0.25306326,0.06047275,0.52187871,0.00429370,0.11986693,0.03107964
1.36476596,2.43480488,1.00000000,0.87234043,7.00000000,7.34246575,0.09297554,0.16093970,0.45162766,0.05546122,0.99078236,0.06446433
0.83739130,0.82382979,0.97872340,0.97916667,7.00000000,7.87397260,0.24355490,0.07627911,0.52551086,0.00819415,0.08256225,0.03150970
0.99523404,1.22930000,1.00000000,0.65217391,7.00000000,7.84109589,0.10665568,0.08552447,0.52570244,0.05142020,0.99641240,0.08817280
0.89717500,0.96605000,0.93023256,0.95238095,7.00000000,8.03013699,0.16683418,0.07783275,0.48938605,0.03955112,0.02595864,0.00156915
0.69000000,0.71316279,0.95744681,0.91489362,7.00000000,7.76164384,0.35479698,0.04127014,0.60280257,0.01686474,0.02484989,0.02430413
1.05353191,1.40467442,1.00000000,0.91489362,7.00000000,8.19178082,0.14992926,0.11944312,0.47413478,0.04383968,0.99133706,0.10189462
0.82004348,0.75450000,0.95833333,0.86956522,7.00000000,7.98082192,0.16033590,0.07322092,0.39212326,0.01000260,0.20656802,0.05751224
1.01068182,1.20351351,0.95652174,0.80434783,7.00000000,7.23561644,0.11259611,0.09507029,0.45360592,0.02948820,0.33012817,0.09436782
1.30259574,1.32822727,1.00000000,0.93617021,7.00000000,7.38904110,0.12839995,0.12530597,0.40908505,0.01290132,0.96489370,0.01064162
0.60580435,0.74609302,1.00000000,0.93478261,7.00000000,8.00273973,0.33520797,0.06661004,0.47946231,0.03925519,0.04003853,0.03698825
1.18093023,1.30851220,0.91489362,0.87234043,7.00000000,7.61917808,0.09826462,0.10869236,0.38677723,0.01409396,0.87528098,0.03551439
0.71044186,0.81231429,0.95555556,0.74468085,7.00000000,7.47123288,0.18887915,0.05382254,0.54467619,0.02600350,0.09913657,0.04270922
0.65276596,0.70885000,0.97916667,0.88888889,7.00000000,7.83013699,0.24009444,0.06304075,0.46491471,0.03532020,0.03081527,0.02634700
